jar_id,rev_name,date_T0,time_T0,analysis_date_T0,CH4.ppm_T0,CO2.ppm.cor_T0,N2O.ppm.cor_T0,timestamp_T0,goodtime_T0,doe_T0,sampling_id_T0,event_id_T0,event,crop_T0,fert_T0,addition_T0,Rep2,dry_weight_g_T0,CH4C_ug_g_T0,CO2C_ug_g_T0,N2ON_ug_g_T0,date_T1,time_T1,analysis_date_T1,CH4.ppm_T1,CO2.ppm.cor_T1,N2O.ppm.cor_T1,timestamp_T1,goodtime_T1,doe_T1,sampling_id_T1,event_id_T1,crop_T1,fert_T1,addition_T1,dry_weight_g_T1,CH4C_ug_g_T1,CO2C_ug_g_T1,N2ON_ug_g_T1,CH4C_flux_ug_g,CO2C_flux_ug_g,N2ON_flux_ug_g,sample_date,time_dif,CH4C_flux_ug_g_d,CO2C_flux_ug_g_d,N2ON_flux_ug_g_d,diff.day,CH4_flux_ug_g_d_avg,CO2_flux_ug_g_d_avg,N2O_flux_ug_g_d_avg,CH4_flux_ug_g_avg,CO2_flux_ug_g_avg,N2O_flux_ug_g_avg,cum_CH4_flux_ug_g,cum_CO2_flux_ug_g,cum_N2O_flux_ug_g
1,1a,1/12/21,5:04:42,1/18/21,3.74370719,648.809082,0.18571911,1/12/21 5:04,1/12/21 5:04,0,1,0.5,1,Corn,0N,Control,Corn-0N-Control-0,9.63592361,0.089929541,15.58538103,0.010409596,1/13/21,7:28:43,1/18/21,1.83135507,616.203117,0.15597447,1/13/21 7:28,1/13/21 7:28,1,2,1,Corn,0N,Control,9.63592361,0.043991934,14.80213616,0.008742403,-0.045937607,-0.783244875,-0.001667193,1,26.40027778,-0.041761021,-0.712033304,-0.001515614,0,0,0,0,0,0,0,0,0,0
2,2a,1/12/21,5:07:06,1/18/21,1.79344292,610.283373,0.1837801,1/12/21 5:07,1/12/21 5:07,0,1,0.5,1,Corn,0N,Carbon,Corn-0N-Carbon-0,9.63592361,0.043081227,14.6599349,0.010300914,1/13/21,7:29:43,1/18/21,1.74415712,740.091272,0.15477118,1/13/21 7:29,1/13/21 7:29,1,2,1,Corn,0N,Carbon,9.63592361,0.041897307,17.77811808,0.008674958,-0.00118392,3.118183181,-0.001625956,2,26.37694444,-0.001077232,2.837189747,-0.001479434,0,0,0,0,0,0,0,0,0,0
3,3a,1/12/21,5:08:52,1/18/21,1.68254987,570.587944,0.18338222,1/12/21 5:08,1/12/21 5:08,0,1,0.5,1,Corn,0N,Nitrogen,Corn-0N-Nitrogen-0,9.63592361,0.040417407,13.70639032,0.010278613,1/13/21,7:31:41,1/18/21,1.83388255,1835.29016,1.55399179,1/13/21 7:31,1/13/21 7:31,1,2,1,Corn,0N,Nitrogen,9.63592361,0.044052648,44.08646124,0.087101575,0.003635241,30.38007093,0.076822962,3,26.38027778,0.003307235,27.63889404,0.069891269,0,0,0,0,0,0,0,0,0,0
4,4a,1/12/21,5:16:40,1/18/21,2.9055327,1330.51326,0.1829839,1/12/21 5:16,1/12/21 5:16,0,1,0.5,1,Corn,112N,Control,Corn-112N-Control-0,10.48985991,0.064113566,29.35914279,0.009421365,1/13/21,7:32:31,1/18/21,1.66675314,2044.30024,0.16745065,1/13/21 7:32,1/13/21 7:32,1,2,1,Corn,112N,Control,10.48985991,0.036778621,45.10958624,0.008621598,-0.027334944,15.75044345,-0.000799767,4,26.26416667,-0.024978469,14.39263799,-0.000730821,0,0,0,0,0,0,0,0,0,0
5,5a,1/12/21,5:23:05,1/18/21,1.77037969,563.076462,0.18204457,1/12/21 5:23,1/12/21 5:23,0,1,0.5,1,Corn,112N,Carbon,Corn-112N-Carbon-0,10.48985991,0.039065248,12.42486095,0.009373001,1/13/21,7:35:01,1/18/21,1.68286581,3093.16828,0.15280563,1/13/21 7:35,1/13/21 7:35,1,2,1,Corn,112N,Carbon,10.48985991,0.037134164,68.25393773,0.007867564,-0.001931084,55.82907678,-0.001505437,5,26.19888889,-0.001769007,51.14330796,-0.001379085,0,0,0,0,0,0,0,0,0,0
6,6a,1/12/21,5:24:44,1/18/21,1.57102496,509.095103,0.18338345,1/12/21 5:24,1/12/21 5:24,0,1,0.5,1,Corn,112N,Nitrogen,Corn-112N-Nitrogen-0,10.48985991,0.034666281,11.23370677,0.009441937,1/13/21,7:35:56,1/18/21,1.67401964,1504.45242,0.51050281,1/13/21 7:35,1/13/21 7:35,1,2,1,Corn,112N,Nitrogen,10.48985991,0.036938964,33.19728915,0.026284462,0.002272683,21.96358238,0.016842525,6,26.18666667,0.002082907,20.12955615,0.015436123,0,0,0,0,0,0,0,0,0,0
7,7a,1/12/21,5:26:30,1/18/21,1.92108049,925.104919,0.18211478,1/12/21 5:26,1/12/21 5:26,0,1,0.5,1,Corn,0N,Control,Corn-0N-Control-0,11.09940695,0.040062647,19.29234714,0.00886168,1/13/21,7:37:39,1/18/21,2.83476335,1668.37145,0.15611655,1/13/21 7:37,1/13/21 7:37,1,2,1,Corn,0N,Control,11.09940695,0.059116796,34.79259542,0.00759661,0.019054149,15.50024828,-0.00126507,7,26.18583333,0.017463625,14.20638229,-0.00115947,0,0,0,0,0,0,0,0,0,0
8,8a,1/12/21,5:28:16,1/18/21,1.76279726,508.606523,0.18088351,1/12/21 5:28,1/12/21 5:28,0,1,0.5,1,Corn,0N,Carbon,Corn-0N-Carbon-0,11.09940695,0.036761773,10.60659542,0.008801766,1/13/21,7:39:13,1/18/21,1.6983466,2564.20247,0.15250369,1/13/21 7:39,1/13/21 7:39,1,2,1,Corn,0N,Carbon,11.09940695,0.035417704,53.47445805,0.007420808,-0.001344069,42.86786263,-0.001380958,8,26.1825,-0.001232031,39.29451745,-0.001265845,0,0,0,0,0,0,0,0,0,0
9,9a,1/12/21,5:41:43,1/18/21,1.92013269,572.043514,0.17939956,1/12/21 5:41,1/12/21 5:41,0,1,0.5,1,Corn,0N,Nitrogen,Corn-0N-Nitrogen-0,11.09940695,0.040042881,11.92952477,0.008729558,1/13/21,7:41:08,1/18/21,1.93592942,1234.9211,0.42424748,1/13/21 7:41,1/13/21 7:41,1,2,1,Corn,0N,Nitrogen,11.09940695,0.04037231,25.75332382,0.020643823,0.000329429,13.82379905,0.011914266,9,25.99027778,0.000304202,12.7652032,0.011001898,0,0,0,0,0,0,0,0,0,0
10,10a,1/12/21,5:33:09,1/18/21,1.76532474,525.759815,0.17897848,1/12/21 5:33,1/12/21 5:33,0,1,0.5,1,Corn,112N,Control,Corn-112N-Control-0,10.17843925,0.040145537,11.95638944,0.009497084,1/13/21,7:45:17,1/18/21,1.8070281,1437.91063,0.15584105,1/13/21 7:45,1/13/21 7:45,1,2,1,Corn,112N,Control,10.17843925,0.04109392,32.69975944,0.008269349,0.000948383,20.74337,-0.001227735,10,26.20222222,0.000868674,18.99994877,-0.001124547,0,0,0,0,0,0,0,0,0,0
