,Day,Crop,Treatment,Addition,sample,timepoint,k_cl_weight,k_cl_volume_l,moisture_percent,dry_soil,nh4n_mgl_1,no3n_mgl_1,nh4n_mg_kg_1,no3n_mg_kg_1,total_N_mg_kg,net_N_mg_kg_1,Cumul_net_N_mg_kg_1,jar_id,event,CH4C_ug_g_T0,CH4C_flux_ug_g,CO2C_flux_ug_g,N2ON_flux_ug_g,sample_date,CH4C_flux_ug_g_d,CO2C_flux_ug_g_d,N2ON_flux_ug_g_d,CH4_flux_ug_g_d_avg,CO2_flux_ug_g_d_avg,N2O_flux_ug_g_d_avg,CH4_flux_ug_g_avg,CO2_flux_ug_g_avg,N2O_flux_ug_g_avg,cum_CH4_flux_ug_g,cum_CO2_flux_ug_g,cum_N2O_flux_ug_g,X16S,F1R2_Ave.g,CS001_Ave.g,F1R2.16S...,CS001.16S...,qnorB_Ave.g,qnorB.16S,cnorB_Ave.g,qnorB.cnorB,cnorB.16S,tot_nor.16S
1,0,Corn,112N,Control,10,a,37.971,0.035158333,44.57222876,3.617770629,0.576118894,0.882408548,5.598856919,8.575450759,14.17430768,0,0,10,1,0.040145537,0.000948383,20.74337,-0.001227735,10,0.000868674,18.99994877,-0.001124547,0,0,0,0,0,0,0,0,0,1777614172,13328927.34,16895208.93,0.007498212,0.00950443,110381672.3,0.062095405,467355474.9,577737147.2,0.26291165,0.325007055
2,4,Corn,112N,Control,10,b,38.218,0.035387037,44.57222876,3.285204001,0.520281492,0.624835548,5.604285279,6.730504004,12.33478928,-1.839518395,-1.839518395,10,2,0.04589242,0.001078243,28.29341881,0.000158983,10,0.000982475,25.78042422,0.000144862,0.000925574,22.3901865,-0.000489843,0.003702298,89.56074599,-0.00195937,0.003702298,89.56074599,-0.00195937,14721115512,30508368.19,34002329.37,0.002072422,0.002309766,374158974.1,0.025416482,1870807016,2244965990,0.127083237,0.15249972
3,15,Corn,112N,Control,10,c,38.443,0.03559537,44.57222876,3.339523217,-0.042642541,0.537264741,0,5.726607119,5.726607119,-6.608182164,-8.447700559,10,3,0.047170163,-0.002823225,19.17495077,0.000762166,10,-0.002797901,19.00295642,0.000755329,-0.000907713,22.39169032,0.000450096,-0.009984844,246.3085935,0.004951053,-0.006282547,335.8693395,0.002991682,7877474847,50009418.9,42476738.22,0.006348407,0.005392177,351369233.1,0.044604298,1294195864,1645565097,0.164290701,0.208894999
4,30,Corn,112N,Control,10,d,38.547,0.035691667,44.57222876,3.462572869,0.175935103,1.73261336,1.813511885,17.85951107,19.67302296,13.94641584,5.498715277,10,4,0.048202362,6.9e-05,20.0231907,0.001572341,10,6.15e-05,17.84244716,0.001401096,-0.001368197,18.42270179,0.001078212,-0.020522951,276.3405268,0.016173186,-0.026805498,612.2098663,0.019164869,12604239650,34429877.17,33840784.44,0.002731611,0.002684873,372719907.6,0.029570995,857727244,1230447152,0.068050693,0.097621688
5,59,Corn,112N,Control,10,e,38.313,0.035475,44.57222876,3.436521817,-0.167506228,3.278916813,0,33.84805339,33.84805339,14.17503044,19.67374571,10,6,0.045403394,0.003978372,20.56046681,0.004010108,10,0.003610927,18.66148765,0.003639732,0.001836217,18.2519674,0.002520414,0.053250294,529.3070547,0.073091998,0.026444796,1141.516921,0.092256867,8332497014,33863106.4,73808071.03,0.004063981,0.008857857,329291616.6,0.03951896,1161280776,1490572393,0.13936768,0.17888664
6,86,Corn,112N,Control,10,f,37.82,0.035018519,44.57222876,3.684838232,0.221328262,14.58900775,2.103372619,138.6452826,140.7486552,106.9006018,126.5743475,10,7,0.070833221,-0.000585597,19.05384705,0.002017216,10,-0.000466181,15.16835942,0.001605862,0.001572373,16.91492354,0.002622797,0.042454063,456.7029355,0.070815522,0.068898859,1598.219856,0.163072389,4638550600,15762126.84,23112219.56,0.003398072,0.004982638,207215211.2,0.044672405,621350645.6,828565856.8,0.13395362,0.178626025
7,0,Corn,112N,Carbon,11,a,37.885,0.035078704,44.57222876,3.674861233,0.593316473,0.749389914,5.66355338,7.153365825,12.81691921,0,0,11,1,0.040303601,-0.002356588,49.4235046,-0.001284483,11,-0.002159668,45.29360824,-0.00117715,0,0,0,0,0,0,0,0,0,1866720509,12433360.6,15685296.62,0.006660537,0.008402595,99835616.18,0.053481823,379775076.2,479610692.4,0.203445065,0.256926889
8,4,Corn,112N,Carbon,11,b,38.216,0.035385185,44.57222876,4.081146796,0.537339901,0.324165014,4.658953199,2.810641131,7.46959433,-5.347324875,-5.347324875,11,2,0.048289101,-0.000750885,38.51244624,2.19e-05,11,-0.000684257,35.09513838,2e-05,-0.001421963,40.19437331,-0.000578592,-0.005687851,160.7774932,-0.002314368,-0.005687851,160.7774932,-0.002314368,15717903350,29263610.18,30310122.1,0.001861801,0.001928382,362316279.1,0.023051184,1737115490,2099431769,0.11051827,0.133569454
9,15,Corn,112N,Carbon,11,c,38.491,0.035639815,44.57222876,3.835047492,0.008528508,0.349417363,0.079257023,3.247201017,3.32645804,-4.14313629,-9.490461165,11,3,0.046459641,0.013304996,22.57278251,0.000466703,11,0.01318399,22.36748831,0.000462458,0.006249867,28.73131335,0.000241212,0.068748533,316.0444468,0.002653332,0.063060682,476.8219401,0.000338964,8933157122,45688602.61,38157255.38,0.005114497,0.004271419,357819525.5,0.040055215,1410478875,1768298401,0.157892541,0.197947755
10,30,Corn,112N,Carbon,11,d,38.563,0.035706481,44.57222876,3.748580169,0.226202276,1.159805259,2.154652432,11.0475335,13.20218593,9.875727892,0.385266727,11,4,0.047201153,2.5e-05,24.69481949,0.003264307,11,2.23e-05,22.00641952,0.002908939,0.006603139,22.18695392,0.001685699,0.099047081,332.8043087,0.025285478,0.162107764,809.6262488,0.025624441,13040455002,25548572.31,22447803.28,0.001959178,0.001721397,374652080.9,0.028729985,838778546.5,1213430627,0.064321264,0.093051249
