ID	rev_name	Day	Crop	Treatment	Addition	Sample_Location	16S	F1R2_Ave/g	CS001_Ave/g	F1R2/16S(%)	CS001/16S(%)	qnorB_Ave/g	qnorB/16S	cnorB_Ave/g	qnorB+cnorB	cnorB/16S	tot_nor/16S
10a	10a	0	Corn	112N	Control	D0-A10	1777614172	13328927.34	16895208.93	0.007498212	0.00950443	110381672.3	0.062095405	467355474.9	577737147.2	0.26291165	0.325007055
10b	10b	4	Corn	112N	Control	D5-A10	14721115512	30508368.19	34002329.37	0.002072422	0.002309766	374158974.1	0.025416482	1870807016	2244965990	0.127083237	0.15249972
10c	10c	15	Corn	112N	Control	D11-A10	7877474847	50009418.9	42476738.22	0.006348407	0.005392177	351369233.1	0.044604298	1294195864	1645565097	0.164290701	0.208894999
10d	10d	30	Corn	112N	Control	D32-A10	12604239650	34429877.17	33840784.44	0.002731611	0.002684873	372719907.6	0.029570995	857727244	1230447152	0.068050693	0.097621688
10e	10e	59	Corn	112N	Control	D60-A10	8332497014	33863106.4	73808071.03	0.004063981	0.008857857	329291616.6	0.03951896	1161280776	1490572393	0.13936768	0.17888664
10f	10f	86	Corn	112N	Control	D87-A10	4638550600	15762126.84	23112219.56	0.003398072	0.004982638	207215211.2	0.044672405	621350645.6	828565856.8	0.13395362	0.178626025
11a	11a	0	Corn	112N	Carbon	D0-A11	1866720509	12433360.6	15685296.62	0.006660537	0.008402595	99835616.18	0.053481823	379775076.2	479610692.4	0.203445065	0.256926889
11b	11b	4	Corn	112N	Carbon	D5-A11	15717903350	29263610.18	30310122.1	0.001861801	0.001928382	362316279.1	0.023051184	1737115490	2099431769	0.11051827	0.133569454
11c	11c	15	Corn	112N	Carbon	D11-A11	8933157122	45688602.61	38157255.38	0.005114497	0.004271419	357819525.5	0.040055215	1410478875	1768298401	0.157892541	0.197947755
11d	11d	30	Corn	112N	Carbon	D32-A11	13040455002	25548572.31	22447803.28	0.001959178	0.001721397	374652080.9	0.028729985	838778546.5	1213430627	0.064321264	0.093051249
11e	11e	59	Corn	112N	Carbon	D60-A11	9560355550	41492298.57	53464810.91	0.004340037	0.005592345	358322702.9	0.03748006	1228180189	1586502892	0.128465953	0.165946014
11f	11f	86	Corn	112N	Carbon	D87-A11	5896379707	8183491.69	21657265.18	0.001387884	0.003672977	235859953.3	0.040000808	663464574.1	899324527.4	0.112520666	0.152521475
12a	12a	0	Corn	112N	Nitrogen	D0-A12	1719981273	11295288.64	13868582.39	0.0065671	0.008063217	102619016.5	0.059662868	373359119.5	475978136.1	0.217071619	0.276734488
12b	12b	4	Corn	112N	Nitrogen	D5-A12	12895891865	24567763.93	27517470.77	0.001905085	0.002133817	313326540.4	0.024296617	1593481479	1906808020	0.123565047	0.147861663
12c	12c	15	Corn	112N	Nitrogen	D11-A12	8029471425	49195749.49	42605586.38	0.006126898	0.005306151	360279565.6	0.044869649	1377289448	1737569014	0.171529279	0.216398929
12d	12d	30	Corn	112N	Nitrogen	D32-A12	10699926194	26301189.33	22686694.08	0.002458072	0.002120266	316129415.3	0.029545009	744432479.9	1060561895	0.069573609	0.099118618
12e	12e	59	Corn	112N	Nitrogen	D60-A12	7714551878	8661904.67	47074340.1	0.001122801	0.006102019	292765607.3	0.037949788	1047888693	1340654300	0.135832737	0.173782524
12f	12f	86	Corn	112N	Nitrogen	D87-A12	5593207569	7579391.77	27536037	0.001355106	0.004923121	224374019.3	0.040115447	650840641.9	875214661.2	0.116362683	0.15647813
13a	13a	0	Corn	336N	Control	D0-B1	1114826750	6333495.91	14199887.93	0.005681148	0.012737305	55288635.17	0.049593926	267459872.9	322748508.1	0.239911603	0.289505529
13b	13b	4	Corn	336N	Control	D5-B1	6745117660	14621069.12	35379437.67	0.002167652	0.005245192	135751047.7	0.020125824	1016343962	1152095010	0.150678463	0.170804287
13c	13c	15	Corn	336N	Control	D11-B1	3070402788	15907414.22	33439945.89	0.005180888	0.010891062	92763389.27	0.030212124	614552720.5	707316109.8	0.200153779	0.230365903
13d	13d	30	Corn	336N	Control	D32-B1	4111289784	14763277.67	32554420.81	0.003590911	0.007918299	89957531.61	0.021880611	368871965.1	458829496.7	0.089721714	0.111602325
