,rev_name,sample,timepoint,initial_name,Day,k_cl_weight,k_cl_volume_l,moisture_percent,dry_soil,nh4n_mgl_1,no3n_mgl_1,nh4n_mg_kg_1,no3n_mg_kg_1,Crop,Treatment,Addition,Rep2,Rep,total_N_mg_kg,net_N_mg_kg_1,Cumul_net_N_mg_kg_1
1,1a,1,a,1a,0,37.788,0.034988889,51.88985987,3.431215194,0.498729789,0.641965611,5.085662129,6.546270684,Corn,0N,Control,Corn-0N-Control-0,Corn-0N-Control,11.63193281,0,0
2,2a,2,a,2a,0,37.767,0.034969444,51.88985987,3.594308569,0.498729789,0.452251017,4.85219989,4.400002536,Corn,0N,Carbon,Corn-0N-Carbon-0,Corn-0N-Carbon,9.252202426,0,0
3,3a,3,a,3h,0,37.719,0.034925,51.88985987,2.757192131,0.490130999,1.878780269,6.208426668,23.79826931,Corn,0N,Nitrogen,Corn-0N-Nitrogen-0,Corn-0N-Nitrogen,30.00669598,0,0
4,4a,4,a,4a,0,37.803,0.035002778,41.89255076,3.807781149,0.490130999,0.344776659,4.505496977,3.169336767,Corn,112N,Control,Corn-112N-Control-0,Corn-112N-Control,7.674833744,0,0
5,5a,5,a,5a,0,38.04,0.035222222,41.89255076,3.904820589,0.55462192,0.226749159,5.0027949,2.045320417,Corn,112N,Carbon,Corn-112N-Carbon-0,Corn-112N-Carbon,7.048115317,0,0
6,6a,6,a,6h,0,37.772,0.034974074,41.89255076,6.186700121,0.722298315,1.952444614,4.08322923,11.03737715,Corn,112N,Nitrogen,Corn-112N-Nitrogen-0,Corn-112N-Nitrogen,15.12060638,0,0
7,7a,7,a,7a,0,37.749,0.034952778,37.49408555,4.022255595,0.490130999,0.402452846,4.259162428,3.497252863,Corn,0N,Control,Corn-0N-Control-0,Corn-0N-Control,7.756415291,0,0
8,8a,8,a,8a,0,37.8,0.035,37.49408555,4.089761982,0.343951579,0.287554589,2.943522215,2.460879307,Corn,0N,Carbon,Corn-0N-Carbon-0,Corn-0N-Carbon,5.404401522,0,0
9,9a,9,a,9a,0,37.775,0.034976852,37.49408555,4.156643311,0.386945526,1.499417446,3.256025432,12.61712828,Corn,0N,Nitrogen,Corn-0N-Nitrogen-0,Corn-0N-Nitrogen,15.87315371,0,0
10,10a,10,a,10a,0,37.971,0.035158333,44.57222876,3.617770629,0.576118894,0.882408548,5.598856919,8.575450759,Corn,112N,Control,Corn-112N-Control-0,Corn-112N-Control,14.17430768,0,0
11,11a,11,a,11a,0,37.885,0.035078704,44.57222876,3.674861233,0.593316473,0.749389914,5.66355338,7.153365825,Corn,112N,Carbon,Corn-112N-Carbon-0,Corn-112N-Carbon,12.81691921,0,0
12,12a,12,a,12a,0,37.772,0.034974074,44.57222876,3.32178633,0.748094683,1.317468302,7.876460514,13.8712215,Corn,112N,Nitrogen,Corn-112N-Nitrogen-0,Corn-112N-Nitrogen,21.74768201,0,0
13,13a,13,a,13a,0,37.614,0.034827778,39.15603401,3.701746891,2.424858629,10.5803692,22.81421176,99.54509534,Corn,336N,Control,Corn-336N-Control-0,Corn-336N-Control,122.3593071,0,0
14,14a,14,a,14a,0,37.733,0.034937963,39.15603401,3.977370057,2.192691313,11.41838866,19.26101087,100.301263,Corn,336N,Carbon,Corn-336N-Carbon-0,Corn-336N-Carbon,119.5622739,0,0
15,15a,15,a,15a,0,37.743,0.034947222,39.15603401,6.540117904,3.559898838,22.05258608,19.02237507,117.8383383,Corn,336N,Nitrogen,Corn-336N-Nitrogen-0,Corn-336N-Nitrogen,136.8607134,0,0
16,16a,16,a,16a,0,37.654,0.034864815,37.88436194,4.268586647,0.31815521,5.549056618,2.598617154,45.32339328,Corn,336N,Control,Corn-336N-Control-0,Corn-336N-Control,47.92201043,0,0
17,17a,17,a,17a,0,37.814,0.035012963,37.88436194,4.272934742,0.232167316,7.103050099,1.902408089,58.203283,Corn,336N,Carbon,Corn-336N-Carbon-0,Corn-336N-Carbon,60.10569109,0,0
18,18a,18,a,18a,0,37.629,0.034841667,37.88436194,3.939373766,0.816884999,8.455982104,7.224913535,74.78866625,Corn,336N,Nitrogen,Corn-336N-Nitrogen-0,Corn-336N-Nitrogen,82.01357979,0,0
19,19a,19,a,19a,0,37.589,0.03480463,40.52771432,4.148191926,0.292358842,0.884607138,2.45298226,7.42213098,Corn,112N,Control,Corn-112N-Control-0,Corn-112N-Control,9.87511324,0,0
20,20a,20,a,20a,0,37.673,0.034882407,40.52771432,4.15949166,0.369747947,0.616399252,3.100787206,5.169259032,Corn,112N,Carbon,Corn-112N-Carbon-0,Corn-112N-Carbon,8.270046238,0,0
21,21a,21,a,21h,0,37.674,0.034883333,40.52771432,3.994753429,1.264022051,3.12814375,11.03780329,27.31584892,Corn,112N,Nitrogen,Corn-112N-Nitrogen-0,Corn-112N-Nitrogen,38.35365221,0,0
22,22a,22,a,22a,0,37.747,0.034950926,44.89761115,3.743105275,0.541723736,0.714856586,5.058299136,6.674912344,Corn,336N,Control,Corn-336N-Control-0,Corn-336N-Control,11.73321148,0,0
23,23a,23,a,23a,0,37.671,0.034880556,44.89761115,3.693513125,0.48153221,0.663334626,4.547462114,6.264355772,Corn,336N,Carbon,Corn-336N-Carbon-0,Corn-336N-Carbon,10.81181789,0,0
24,24a,24,a,24a,0,37.499,0.034721296,44.89761115,3.44059316,0.601915262,2.914553154,6.074324165,29.41267943,Corn,336N,Nitrogen,Corn-336N-Nitrogen-0,Corn-336N-Nitrogen,35.4870036,0,0
25,25a,25,a,25a,0,37.514,0.034735185,46.16341882,3.50153124,0.736123568,0.872715358,7.302344798,8.657335172,Corn,336N,Control,Corn-336N-Control-0,Corn-336N-Control,15.95967997,0,0
26,26a,26,a,26a,0,37.599,0.034813889,46.16341882,3.672193202,0.674040857,0.609156859,6.390182164,5.775055406,Corn,336N,Carbon,Corn-336N-Carbon-0,Corn-336N-Carbon,12.16523757,0,0
27,27a,27,a,27a,0,37.62,0.034833333,46.16341882,3.804631192,0.434578974,2.239954386,3.9787915,20.50792149,Corn,336N,Nitrogen,Corn-336N-Nitrogen-0,Corn-336N-Nitrogen,24.48671299,0,0
28,28a,28,a,28a,0,37.561,0.034778704,45.38233189,3.663753177,0.815944195,0.524917492,7.745467568,4.982854749,Corn,0N,Control,Corn-0N-Control-0,Corn-0N-Control,12.72832232,0,0
29,29a,29,a,29a,0,37.602,0.034816667,45.38233189,3.500446349,0.620827105,0.703945517,6.174964053,7.00168892,Corn,0N,Carbon,Corn-0N-Carbon-0,Corn-0N-Carbon,13.17665297,0,0
30,30a,30,a,30a,0,37.594,0.034809259,45.38233189,3.786096753,0.789337319,1.774939681,7.257143487,16.31874185,Corn,0N,Nitrogen,Corn-0N-Nitrogen-0,Corn-0N-Nitrogen,23.57588534,0,0
31,31a,31,a,31a,0,37.666,0.034875926,37.55170771,4.149689023,0.567613353,4.773792297,4.770487898,40.12118152,Corn,112N,Control,Corn-112N-Control-0,Corn-112N-Control,44.89166942,0,0
32,32a,32,a,32a,0,37.536,0.034755556,37.55170771,4.339531831,0.487792725,6.262413582,3.906759491,50.15602411,Corn,112N,Carbon,Corn-112N-Carbon-0,Corn-112N-Carbon,54.0627836,0,0
33,33a,33,a,33a,0,37.541,0.034760185,37.55170771,4.079122452,0.505530643,7.362420501,4.307872334,62.7387638,Corn,112N,Nitrogen,Corn-112N-Nitrogen-0,Corn-112N-Nitrogen,67.04663613,0,0
34,34a,34,a,34a,0,37.634,0.034846296,44.93038326,3.990344429,0.541006477,0.890468966,4.72442225,7.776157163,Corn,0N,Control,Corn-0N-Control-0,Corn-0N-Control,12.50057941,0,0
35,35a,35,a,35a,0,37.693,0.034900926,44.93038326,3.979330506,0.576482312,0.426503429,5.05606821,3.740670585,Corn,0N,Carbon,Corn-0N-Carbon-0,Corn-0N-Carbon,8.796738795,0,0
36,36a,36,a,36a,0,37.801,0.035000926,44.93038326,3.218819098,0.780468361,1.412644053,8.486688579,15.36086631,Corn,0N,Nitrogen,Corn-0N-Nitrogen-0,Corn-0N-Nitrogen,23.84755489,0,0
37,37a,37,a,37a,0,37.715,0.034921296,54.70784056,3.485231669,1.064275037,7.144248089,10.66381448,71.58387965,Miscanthus,336N,Control,Miscanthus-336N-Control-0,Miscanthus-336N-Control,82.24769413,0,0
38,38a,38,a,38a,0,37.743,0.034947222,54.70784056,3.179056671,0.975585451,5.074108375,10.72456552,55.77943752,Miscanthus,336N,Carbon,Miscanthus-336N-Carbon-0,Miscanthus-336N-Carbon,66.50400304,0,0
39,39a,39,a,39a,0,37.612,0.034825926,54.70784056,3.310856855,0.665171898,10.29170047,6.996746847,108.2553593,Miscanthus,336N,Nitrogen,Miscanthus-336N-Nitrogen-0,Miscanthus-336N-Nitrogen,115.2521061,0,0
40,40a,40,a,40a,0,37.72,0.034925926,48.8302975,3.682171792,0.736123568,4.47134503,6.982237289,42.41134693,Miscanthus,112N,Control,Miscanthus-112N-Control-0,Miscanthus-112N-Control,49.39358422,0,0
41,41a,41,a,41a,0,37.67,0.03487963,48.8302975,1.754097402,0.65630294,4.534000001,13.05036051,90.15704637,Miscanthus,112N,Carbon,Miscanthus-112N-Carbon-0,Miscanthus-112N-Carbon,103.2074069,0,0
42,42a,42,a,42a,0,37.714,0.03492037,48.8302975,3.300957508,0.700647733,6.384572468,7.412054918,67.54150415,Miscanthus,112N,Nitrogen,Miscanthus-112N-Nitrogen-0,Miscanthus-112N-Nitrogen,74.95355907,0,0
43,43a,43,a,43a,0,37.594,0.034809259,38.54459018,4.748044963,0.895764823,6.610102153,6.567105031,48.46052668,Miscanthus,336N,Control,Miscanthus-336N-Control-0,Miscanthus-336N-Control,55.02763171,0,0
44,44a,44,a,44a,0,37.757,0.034960185,38.54459018,4.34121015,0.594220229,5.216099495,4.785312974,42.00575369,Miscanthus,336N,Carbon,Miscanthus-336N-Carbon-0,Miscanthus-336N-Carbon,46.79106666,0,0
45,45a,45,a,45a,0,37.644,0.034855556,38.54459018,4.338751933,1.738315894,6.671963258,13.96483762,53.59951193,Miscanthus,336N,Nitrogen,Miscanthus-336N-Nitrogen-0,Miscanthus-336N-Nitrogen,67.56434955,0,0
46,46a,46,a,46a,0,37.7,0.034907407,39.06003785,4.335268907,0.416841056,4.869189589,3.356387086,39.20651484,Miscanthus,112N,Control,Miscanthus-112N-Control-0,Miscanthus-112N-Control,42.56290193,0,0
47,47a,47,a,47a,0,36.173,0.033493519,39.06003785,4.142089227,0.310413553,6.323417381,2.510047829,51.13204606,Miscanthus,112N,Carbon,Miscanthus-112N-Carbon-0,Miscanthus-112N-Carbon,53.64209389,0,0
48,48a,48,a,48a,0,37.589,0.03480463,39.06003785,4.326737313,0.815944195,7.951785293,6.563521995,63.96481275,Miscanthus,112N,Nitrogen,Miscanthus-112N-Nitrogen-0,Miscanthus-112N-Nitrogen,70.52833475,0,0
49,49a,49,a,49a,0,37.749,0.034952778,51.50953066,3.39190833,0.915745056,0.536107309,9.436526673,5.52445344,Miscanthus,0N,Control,Miscanthus-0N-Control-0,Miscanthus-0N-Control,14.96098011,0,0
50,50a,50,a,50a,0,37.6,0.034814815,51.50953066,3.393363044,0.88994942,0.374599339,9.130595182,3.843268884,Miscanthus,0N,Carbon,Miscanthus-0N-Carbon-0,Miscanthus-0N-Carbon,12.97386407,0,0
51,51a,51,a,51a,0,37.545,0.034763889,51.50953066,3.309959437,1.070518868,1.693140113,11.24346074,17.78273598,Miscanthus,0N,Nitrogen,Miscanthus-0N-Nitrogen-0,Miscanthus-0N-Nitrogen,29.02619672,0,0
52,52a,52,a,52a,0,37.728,0.034933333,44.67019051,3.844868461,0.700781428,0.280675326,6.367091995,2.550132682,Miscanthus,0N,Control,Miscanthus-0N-Control-0,Miscanthus-0N-Control,8.917224677,0,0
53,53a,53,a,53a,0,37.739,0.034943519,44.67019051,4.169101145,0.623394521,0.401749308,5.225010679,3.367280836,Miscanthus,0N,Carbon,Miscanthus-0N-Carbon-0,Miscanthus-0N-Carbon,8.592291515,0,0
54,54a,54,a,54a,0,37.734,0.034938889,44.67019051,4.294699813,1.027526142,1.281252791,8.359285464,10.42344072,Miscanthus,0N,Nitrogen,Miscanthus-0N-Nitrogen-0,Miscanthus-0N-Nitrogen,18.78272618,0,0
55,55a,55,a,55a,0,37.692,0.0349,53.54534388,3.609991327,1.061920323,5.436976221,10.26623499,52.56258338,Miscanthus,336N,Control,Miscanthus-336N-Control-0,Miscanthus-336N-Control,62.82881837,0,0
56,56a,56,a,56a,0,37.763,0.034965741,53.54534388,3.407913573,0.958737781,5.076271417,9.836803658,52.08336024,Miscanthus,336N,Carbon,Miscanthus-336N-Carbon-0,Miscanthus-336N-Carbon,61.9201639,0,0
57,57a,57,a,57a,0,37.671,0.034880556,53.54534388,3.240676811,0.760971243,11.12824356,8.190603779,119.777238,Miscanthus,336N,Nitrogen,Miscanthus-336N-Nitrogen-0,Miscanthus-336N-Nitrogen,127.9678418,0,0
58,58a,58,a,58a,0,37.714,0.03492037,45.74196993,3.775816313,0.846956695,2.617309984,7.833019146,24.20600645,Miscanthus,112N,Control,Miscanthus-112N-Control-0,Miscanthus-112N-Control,32.0390256,0,0
59,59a,59,a,59a,0,37.799,0.034999074,45.74196993,4.104077394,0.692182882,3.545281643,5.902851639,30.2337317,Miscanthus,112N,Carbon,Miscanthus-112N-Carbon-0,Miscanthus-112N-Carbon,36.13658334,0,0
60,60a,60,a,60a,0,37.712,0.034918519,45.74196993,3.80782855,0.88994942,5.40224987,8.161006963,49.53966798,Miscanthus,112N,Nitrogen,Miscanthus-112N-Nitrogen-0,Miscanthus-112N-Nitrogen,57.70067494,0,0
61,61a,61,a,61a,0,37.844,0.035040741,51.65241239,3.511968764,0.898547965,0.822110674,8.965280849,8.202626195,Miscanthus,0N,Control,Miscanthus-0N-Control-0,Miscanthus-0N-Control,17.16790704,0,0
62,62a,62,a,62a,0,37.788,0.034988889,51.65241239,3.362091242,0.803963969,0.663078868,8.36675865,6.900583937,Miscanthus,0N,Carbon,Miscanthus-0N-Carbon-0,Miscanthus-0N-Carbon,15.26734259,0,0
63,63a,63,a,63a,0,37.755,0.034958333,51.65241239,3.37997985,1.182299955,3.999067551,12.2282492,41.36141121,Miscanthus,0N,Nitrogen,Miscanthus-0N-Nitrogen-0,Miscanthus-0N-Nitrogen,53.58966041,0,0
64,64a,64,a,64a,0,37.784,0.034985185,52.29109668,3.474639429,0.735175608,5.570822363,7.402280242,56.09107247,Miscanthus,336N,Control,Miscanthus-336N-Control-0,Miscanthus-336N-Control,63.49335271,0,0
65,65a,65,a,65a,0,37.753,0.034956481,52.29109668,3.548588229,0.494416345,4.740803053,4.870403293,46.70076758,Miscanthus,336N,Carbon,Miscanthus-336N-Carbon-0,Miscanthus-336N-Carbon,51.57117087,0,0
66,66a,66,a,66a,0,37.85,0.035046296,52.29109668,3.823391512,1.397263583,9.635848957,12.80771623,88.32493784,Miscanthus,336N,Nitrogen,Miscanthus-336N-Nitrogen-0,Miscanthus-336N-Nitrogen,101.1326541,0,0
67,67a,67,a,67a,0,37.843,0.035039815,53.49931923,3.289923164,0.85555524,0.317369814,9.112218027,3.380194298,Miscanthus,0N,Control,Miscanthus-0N-Control-0,Miscanthus-0N-Control,12.49241233,0,0
68,68a,68,a,68a,0,37.735,0.034939815,53.49931923,3.042074536,0.907146511,0.31402303,10.41905144,3.606718506,Miscanthus,0N,Carbon,Miscanthus-0N-Carbon-0,Miscanthus-0N-Carbon,14.02576995,0,0
69,69a,69,a,69a,0,37.896,0.035088889,53.49931923,2.872347051,1.087715958,1.388070197,13.28765073,16.9568092,Miscanthus,0N,Nitrogen,Miscanthus-0N-Nitrogen-0,Miscanthus-0N-Nitrogen,30.24445993,0,0
70,70a,70,a,70a,0,37.719,0.034925,52.08002904,3.378357953,0.85555524,3.10860362,8.844612433,32.1363168,Miscanthus,112N,Control,Miscanthus-112N-Control-0,Miscanthus-112N-Control,40.98092923,0,0
71,71a,71,a,71a,0,37.782,0.034983333,52.08002904,2.779358316,0.803963969,2.175980289,10.11936437,27.38871175,Miscanthus,112N,Carbon,Miscanthus-112N-Carbon-0,Miscanthus-112N-Carbon,37.50807612,0,0
72,72a,72,a,72a,0,37.759,0.034962037,52.08002904,2.569948043,0.752372698,4.941140459,10.23541399,67.22016666,Miscanthus,112N,Nitrogen,Miscanthus-112N-Nitrogen-0,Miscanthus-112N-Nitrogen,77.45558065,0,0
73,1b,1,b,1b,4,37.744,0.034948148,51.88985987,3.066540332,0.477635468,0.594976129,5.443422649,6.780707781,Corn,0N,Control,Corn-0N-Control-4,Corn-0N-Control,12.22413043,0.592197617,0.592197617
74,2b,2,b,2b,4,37.681,0.034889815,51.88985987,3.160355105,0.503223082,0.25211625,5.555502331,2.783323067,Corn,0N,Carbon,Corn-0N-Carbon-4,Corn-0N-Carbon,8.338825398,-0.913377028,-0.913377028
75,3b,3,b,3b,4,35.987,0.033321296,51.88985987,3.352795666,0.759099226,3.292000582,7.544202733,32.71709277,Corn,0N,Nitrogen,Corn-0N-Nitrogen-4,Corn-0N-Nitrogen,40.2612955,10.25459953,10.25459953
76,4b,4,b,4b,4,37.047,0.034302778,41.89255076,3.319678575,0.597044335,0.281346475,6.169356064,2.907198814,Corn,112N,Control,Corn-112N-Control-4,Corn-112N-Control,9.076554878,1.401721134,1.401721134
77,5b,5,b,5b,4,36.155,0.033476852,41.89255076,3.402772227,0.469106263,0.243133232,4.615119622,2.391971795,Corn,112N,Carbon,Corn-112N-Carbon-4,Corn-112N-Carbon,7.007091417,-0.0410239,-0.0410239
78,6b,6,b,6b,4,37.927,0.035117593,41.89255076,3.550365149,0.545869106,3.17857007,5.399334457,31.44006998,Corn,112N,Nitrogen,Corn-112N-Nitrogen-4,Corn-112N-Nitrogen,36.83940444,21.71879806,21.71879806
79,7b,7,b,7b,4,37.807,0.035006481,37.49408555,3.846613975,5.748684025,0.432853572,52.31645342,3.939225677,Corn,0N,Control,Corn-0N-Control-4,Corn-0N-Control,56.2556791,48.49926381,48.49926381
80,8b,8,b,8b,4,37.863,0.035058333,37.49408555,4.139766714,0.486164673,0.166984643,4.117169959,1.414138446,Corn,0N,Carbon,Corn-0N-Carbon-4,Corn-0N-Carbon,5.531308405,0.126906883,0.126906883
81,9b,9,b,9b,4,38.117,0.035293519,37.49408555,3.84286362,0.622631949,2.992574999,5.7183586,27.484322,Corn,0N,Nitrogen,Corn-0N-Nitrogen-4,Corn-0N-Nitrogen,33.2026806,17.32952689,17.32952689
82,10b,10,b,10b,4,38.218,0.035387037,44.57222876,3.285204001,0.520281492,0.624835548,5.604285279,6.730504004,Corn,112N,Control,Corn-112N-Control-4,Corn-112N-Control,12.33478928,-1.839518395,-1.839518395
83,11b,11,b,11b,4,38.216,0.035385185,44.57222876,4.081146796,0.537339901,0.324165014,4.658953199,2.810641131,Corn,112N,Carbon,Corn-112N-Carbon-4,Corn-112N-Carbon,7.46959433,-5.347324875,-5.347324875
84,12b,12,b,12b,4,38.201,0.035371296,44.57222876,3.056287306,0.648219564,3.126013623,7.502032353,36.17825912,Corn,112N,Nitrogen,Corn-112N-Nitrogen-4,Corn-112N-Nitrogen,43.68029147,21.93260946,21.93260946
85,13b,13,b,13b,4,38.195,0.035365741,39.15603401,3.805790073,1.6034905,15.36767333,14.90061937,142.805867,Corn,336N,Control,Corn-336N-Control-4,Corn-336N-Control,157.7064864,35.34717927,35.34717927
86,14b,14,b,14b,4,38.244,0.035411111,39.15603401,3.836212056,1.134384236,13.01285523,10.47121631,120.1184021,Corn,336N,Carbon,Corn-336N-Carbon-4,Corn-336N-Carbon,130.5896184,11.02734454,11.02734454
87,15b,15,b,15b,4,38.149,0.035323148,39.15603401,3.676800865,2.447881773,18.09678782,23.51688158,173.8564423,Corn,336N,Nitrogen,Corn-336N-Nitrogen-4,Corn-336N-Nitrogen,197.3733239,60.51261051,60.51261051
